mode,ngram,diversity,avg_metrics,time
Train,"(3, 3)",0.4,0.24178995433789952,408.1107540130615
Train,"(3, 3)",0.4,0.38753424657534247,408.1107540130615
Train,"(3, 3)",0.4,0.28343639921722114,408.1107540130615
Test,"(3, 3)",0.4,0.2375366568914956,15.51217007637024
Test,"(3, 3)",0.4,0.3956500488758553,15.51217007637024
Test,"(3, 3)",0.4,0.2823488339617372,15.51217007637024
