mode,ngram,nr_cand,diversity,avg_metrics,time
Test,"(2, 2)",5,0.4,0.6232977548767022,48.23597598075867
Test,"(2, 2)",5,0.4,0.6241565452091767,48.23597598075867
Train,"(2, 2)",5,0.5,0.6224375,141.64018201828003
Train,"(2, 2)",5,0.5,0.6206875,141.64018201828003
Train,"(2, 2)",5,0.5,0.6212708333333332,141.64018201828003
Test,"(2, 2)",5,0.5,0.6166728008833272,47.61647701263428
Test,"(2, 2)",5,0.5,0.6140964298859035,47.61647701263428
Test,"(2, 2)",5,0.5,0.6149552202183781,47.61647701263428
Train,"(2, 2)",5,0.6,0.609625,139.79467129707336
Train,"(2, 2)",5,0.6,0.607875,139.79467129707336
Train,"(2, 2)",5,0.6,0.6084583333333333,139.79467129707336
Test,"(2, 2)",5,0.6,0.6071034228928965,46.46869778633118
Test,"(2, 2)",5,0.6,0.604527051895473,46.46869778633118
Test,"(2, 2)",5,0.6,0.6053858422279474,46.46869778633118
Train,"(2, 3)",4,0.5,0.7602708333333333,174.49438643455505
Test,"(2, 3)",4,0.5,0.7611336032388664,59.319212198257446
Test,"(2, 3)",4,0.5,0.7585572322414428,59.319212198257446
Test,"(2, 3)",4,0.5,0.7594160225739172,59.319212198257446
Train,"(2, 3)",4,0.6,0.743125,174.13753628730774
Train,"(2, 3)",4,0.6,0.741375,174.13753628730774
Train,"(2, 3)",4,0.6,0.7419583333333334,174.13753628730774
Test,"(2, 3)",4,0.6,0.7421788737578211,58.4445219039917
Test,"(2, 3)",4,0.6,0.7396025027603975,58.4445219039917
Test,"(2, 3)",4,0.6,0.7404612930928721,58.4445219039917
Train,"(2, 3)",5,0.2,0.721375,172.39103198051453
Train,"(2, 3)",5,0.2,0.719625,172.39103198051453
Train,"(2, 3)",5,0.2,0.7202083333333333,172.39103198051453
Test,"(2, 3)",5,0.2,0.7211998527788002,58.765103340148926
Test,"(2, 3)",5,0.2,0.7186234817813765,58.765103340148926
Test,"(2, 3)",5,0.2,0.7194822721138511,58.765103340148926
Train,"(2, 3)",5,0.3,0.7534375,172.2386462688446
Train,"(2, 3)",5,0.3,0.7516875,172.2386462688446
Train,"(2, 3)",5,0.3,0.7522708333333333,172.2386462688446
Test,"(2, 3)",5,0.3,0.7526683842473316,57.636138916015625
Test,"(2, 3)",5,0.3,0.750092013249908,57.636138916015625
Test,"(2, 3)",5,0.3,0.7509508035823825,57.636138916015625
Train,"(2, 3)",5,0.4,0.7645625,172.24857568740845
Train,"(2, 3)",5,0.4,0.7628125,172.24857568740845
Train,"(2, 3)",5,0.4,0.7633958333333334,172.24857568740845
Test,"(2, 3)",5,0.4,0.764078027235922,58.191282510757446
Test,"(2, 3)",5,0.4,0.7615016562384983,58.191282510757446
Test,"(2, 3)",5,0.4,0.7623604465709728,58.191282510757446
Train,"(2, 3)",5,0.5,0.7614375,171.91337776184082
Train,"(2, 3)",5,0.5,0.7596875,171.91337776184082
Train,"(2, 3)",5,0.5,0.7602708333333333,171.91337776184082
Test,"(2, 3)",5,0.5,0.7611336032388664,57.78891825675965
Test,"(2, 3)",5,0.5,0.7585572322414428,57.78891825675965
Test,"(2, 3)",5,0.5,0.7594160225739172,57.78891825675965
Train,"(2, 3)",5,0.6,0.743125,171.207368850708
Train,"(2, 3)",5,0.6,0.741375,171.207368850708
Train,"(2, 3)",5,0.6,0.7419583333333334,171.207368850708
Test,"(2, 3)",5,0.6,0.7421788737578211,58.40731072425842
Test,"(2, 3)",5,0.6,0.7396025027603975,58.40731072425842
Test,"(2, 3)",5,0.6,0.7404612930928721,58.40731072425842
Train,"(3, 3)",4,0.5,0.77675,134.84826469421387
Test,"(3, 3)",4,0.5,0.7942583732057417,45.99154329299927
Test,"(3, 3)",4,0.5,0.7637099742362901,45.99154329299927
Test,"(3, 3)",4,0.5,0.7738927738927739,45.99154329299927
Train,"(3, 3)",4,0.6,0.7844375,134.80408024787903
Train,"(3, 3)",4,0.6,0.758375,134.80408024787903
Train,"(3, 3)",4,0.6,0.7670625,134.80408024787903
Test,"(3, 3)",4,0.6,0.7824806772175193,45.5416419506073
Test,"(3, 3)",4,0.6,0.7519322782480677,45.5416419506073
Test,"(3, 3)",4,0.6,0.7621150779045516,45.5416419506073
Train,"(3, 3)",5,0.2,0.765625,135.3683729171753
Train,"(3, 3)",5,0.2,0.7395625,135.3683729171753
Train,"(3, 3)",5,0.2,0.74825,135.3683729171753
Test,"(3, 3)",5,0.2,0.7657342657342657,45.41319870948792
Test,"(3, 3)",5,0.2,0.7351858667648141,45.41319870948792
Test,"(3, 3)",5,0.2,0.745368666421298,45.41319870948792
Train,"(3, 3)",5,0.3,0.787375,135.5834722518921
Train,"(3, 3)",5,0.3,0.7613125,135.5834722518921
Train,"(3, 3)",5,0.3,0.77,135.5834722518921
Test,"(3, 3)",5,0.3,0.7878174457121826,45.583574056625366
Test,"(3, 3)",5,0.3,0.757269046742731,45.583574056625366
Test,"(3, 3)",5,0.3,0.7674518463992147,45.583574056625366
Train,"(3, 3)",5,0.4,0.7950625,134.88229298591614
Train,"(3, 3)",5,0.4,0.769,134.88229298591614
Train,"(3, 3)",5,0.4,0.7776875,134.88229298591614
Test,"(3, 3)",5,0.4,0.7948104527051896,46.45477151870728
Test,"(3, 3)",5,0.4,0.764262053735738,46.45477151870728
Test,"(3, 3)",5,0.4,0.7744448533922218,46.45477151870728
Train,"(3, 3)",5,0.5,0.794125,134.38845872879028
Train,"(3, 3)",5,0.5,0.7680625,134.38845872879028
Train,"(3, 3)",5,0.5,0.77675,134.38845872879028
Test,"(3, 3)",5,0.5,0.7942583732057417,46.42592525482178
Test,"(3, 3)",5,0.5,0.7637099742362901,46.42592525482178
Test,"(3, 3)",5,0.5,0.7738927738927739,46.42592525482178
Train,"(3, 3)",5,0.6,0.7844375,134.35339498519895
Train,"(3, 3)",5,0.6,0.758375,134.35339498519895
Train,"(3, 3)",5,0.6,0.7670625,134.35339498519895
Test,"(3, 3)",5,0.6,0.7824806772175193,45.55220246315002
Test,"(3, 3)",5,0.6,0.7519322782480677,45.55220246315002
Test,"(3, 3)",5,0.6,0.7621150779045516,45.55220246315002
